18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
15       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 02:01:24                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 5- 7, 16:28:13                             ; PROFILE DATE, TIME (UT) START
2013- 5- 7, 16:38:45                             ; PROFILE DATE, TIME (UT) END
2013- 5- 7, 16:33:29                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 4-27, 18:16:30                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, 1.250e+018, 2.861e+016, 350.0, 2.29, 2.00, 53.03, 1.21, 9.380e+002, 9.380e+000, 288.17, 2.00, 2.357e+025, 2.357e+023
746.0, 1.255e+018, 3.118e+016, 350.0, 2.48, 2.00, 53.37, 1.33, 9.347e+002, 9.347e+000, 287.81, 2.00, 2.352e+025, 2.352e+023
776.0, 1.257e+018, 3.368e+016, 350.0, 2.68, 2.00, 53.57, 1.44, 9.313e+002, 9.313e+000, 287.44, 2.00, 2.347e+025, 2.347e+023
806.0, 1.251e+018, 3.597e+016, 350.0, 2.87, 2.00, 53.44, 1.54, 9.280e+002, 9.280e+000, 287.07, 2.00, 2.341e+025, 2.341e+023
836.0, 1.248e+018, 3.921e+016, 350.0, 3.14, 2.00, 53.46, 1.68, 9.248e+002, 9.248e+000, 286.87, 2.00, 2.335e+025, 2.335e+023
866.0, 1.244e+018, 4.240e+016, 350.0, 3.41, 2.00, 53.42, 1.82, 9.215e+002, 9.215e+000, 286.67, 2.00, 2.328e+025, 2.328e+023
896.0, 1.235e+018, 4.539e+016, 350.0, 3.68, 2.00, 53.19, 1.96, 9.182e+002, 9.182e+000, 286.47, 2.00, 2.321e+025, 2.321e+023
926.0, 1.227e+018, 4.838e+016, 350.0, 3.94, 2.00, 53.00, 2.09, 9.149e+002, 9.149e+000, 286.28, 2.00, 2.315e+025, 2.315e+023
956.0, 1.219e+018, 5.132e+016, 350.0, 4.21, 2.00, 52.81, 2.22, 9.117e+002, 9.117e+000, 286.08, 2.00, 2.308e+025, 2.308e+023
986.0, 1.210e+018, 5.578e+016, 350.0, 4.61, 2.00, 52.57, 2.42, 9.084e+002, 9.084e+000, 285.89, 2.00, 2.301e+025, 2.301e+023
1016.0, 1.211e+018, 6.067e+016, 350.0, 5.01, 2.00, 52.77, 2.64, 9.052e+002, 9.052e+000, 285.71, 2.00, 2.295e+025, 2.295e+023
1046.0, 1.214e+018, 6.569e+016, 350.0, 5.41, 2.00, 53.06, 2.87, 9.020e+002, 9.020e+000, 285.52, 2.00, 2.288e+025, 2.288e+023
1076.0, 1.217e+018, 7.074e+016, 350.0, 5.81, 2.00, 53.36, 3.10, 8.988e+002, 8.988e+000, 285.34, 2.00, 2.281e+025, 2.281e+023
1106.0, 1.212e+018, 7.526e+016, 350.0, 6.21, 2.00, 53.27, 3.31, 8.955e+002, 8.955e+000, 285.16, 2.00, 2.275e+025, 2.275e+023
1136.0, 1.203e+018, 8.264e+016, 350.0, 6.87, 2.00, 53.06, 3.64, 8.924e+002, 8.924e+000, 284.98, 2.00, 2.268e+025, 2.268e+023
1166.0, 1.194e+018, 8.984e+016, 350.0, 7.52, 2.00, 52.82, 3.97, 8.892e+002, 8.892e+000, 284.81, 2.00, 2.261e+025, 2.261e+023
1196.0, 1.184e+018, 9.686e+016, 350.0, 8.18, 2.00, 52.53, 4.30, 8.860e+002, 8.860e+000, 284.63, 2.00, 2.255e+025, 2.255e+023
1226.0, 1.175e+018, 1.038e+017, 350.0, 8.83, 2.00, 52.27, 4.62, 8.828e+002, 8.828e+000, 284.46, 2.00, 2.248e+025, 2.248e+023
1256.0, 1.166e+018, 1.107e+017, 350.0, 9.49, 2.00, 52.04, 4.94, 8.797e+002, 8.797e+000, 284.29, 2.00, 2.241e+025, 2.241e+023
1286.0, 1.182e+018, 9.245e+016, 350.0, 7.82, 2.00, 52.89, 4.14, 8.765e+002, 8.765e+000, 284.10, 2.00, 2.235e+025, 2.235e+023
1316.0, 1.197e+018, 7.370e+016, 350.0, 6.15, 2.00, 53.74, 3.31, 8.734e+002, 8.734e+000, 283.91, 2.00, 2.228e+025, 2.228e+023
1346.0, 1.201e+018, 5.390e+016, 350.0, 4.49, 2.00, 54.06, 2.43, 8.703e+002, 8.703e+000, 283.72, 2.00, 2.222e+025, 2.222e+023
1376.0, 1.221e+018, 3.445e+016, 350.0, 2.82, 2.00, 55.14, 1.56, 8.671e+002, 8.671e+000, 283.54, 2.00, 2.215e+025, 2.215e+023
1406.0, 1.236e+018, 1.426e+016, 350.0, 1.15, 2.00, 55.98, 0.65, 8.640e+002, 8.640e+000, 283.35, 2.00, 2.209e+025, 2.209e+023
1436.0, 1.230e+018, 1.469e+016, 550.0, 1.19, 3.00, 55.88, 0.67, 8.609e+002, 8.609e+000, 283.17, 2.00, 2.202e+025, 2.202e+023
1466.0, 1.234e+018, 1.524e+016, 550.0, 1.24, 3.00, 56.19, 0.69, 8.578e+002, 8.578e+000, 283.00, 2.00, 2.195e+025, 2.195e+023
1496.0, 1.240e+018, 1.583e+016, 550.0, 1.28, 3.00, 56.67, 0.72, 8.547e+002, 8.547e+000, 282.82, 2.00, 2.189e+025, 2.189e+023
1526.0, 1.251e+018, 1.648e+016, 550.0, 1.32, 3.00, 57.32, 0.75, 8.517e+002, 8.517e+000, 282.65, 2.00, 2.182e+025, 2.182e+023
1556.0, 1.333e+018, 6.399e+015, 550.0, 0.48, 3.00, 61.28, 0.29, 8.486e+002, 8.486e+000, 282.47, 2.00, 2.176e+025, 2.176e+023
1586.0, 1.330e+018, 6.605e+015, 550.0, 0.50, 3.00, 61.32, 0.30, 8.455e+002, 8.455e+000, 282.36, 2.00, 2.169e+025, 2.169e+023
1616.0, 1.326e+018, 6.808e+015, 550.0, 0.51, 3.00, 61.34, 0.31, 8.425e+002, 8.425e+000, 282.25, 2.00, 2.162e+025, 2.162e+023
1646.0, 1.321e+018, 7.003e+015, 550.0, 0.53, 3.00, 61.30, 0.32, 8.394e+002, 8.394e+000, 282.14, 2.00, 2.155e+025, 2.155e+023
1676.0, 1.314e+018, 7.186e+015, 550.0, 0.55, 3.00, 61.18, 0.33, 8.364e+002, 8.364e+000, 282.03, 2.00, 2.148e+025, 2.148e+023
1706.0, 1.304e+018, 7.351e+015, 550.0, 0.56, 3.00, 60.93, 0.34, 8.333e+002, 8.333e+000, 281.92, 2.00, 2.141e+025, 2.141e+023
1736.0, 1.304e+018, 7.607e+015, 550.0, 0.58, 3.00, 61.12, 0.36, 8.303e+002, 8.303e+000, 281.81, 2.00, 2.134e+025, 2.134e+023
1766.0, 1.307e+018, 7.879e+015, 550.0, 0.60, 3.00, 61.44, 0.37, 8.273e+002, 8.273e+000, 281.70, 2.00, 2.127e+025, 2.127e+023
1796.0, 1.303e+018, 8.112e+015, 550.0, 0.62, 3.00, 61.46, 0.38, 8.244e+002, 8.244e+000, 281.58, 2.00, 2.120e+025, 2.120e+023
1826.0, 1.294e+018, 8.306e+015, 550.0, 0.64, 3.00, 61.20, 0.39, 8.214e+002, 8.214e+000, 281.47, 2.00, 2.114e+025, 2.114e+023
1856.0, 1.350e+018, 8.931e+015, 550.0, 0.66, 3.00, 64.06, 0.42, 8.184e+002, 8.184e+000, 281.35, 2.00, 2.107e+025, 2.107e+023
1886.0, 1.350e+018, 9.228e+015, 550.0, 0.68, 3.00, 64.28, 0.44, 8.154e+002, 8.154e+000, 281.29, 2.00, 2.100e+025, 2.100e+023
1916.0, 1.349e+018, 9.525e+015, 550.0, 0.71, 3.00, 64.49, 0.46, 8.125e+002, 8.125e+000, 281.23, 2.00, 2.092e+025, 2.092e+023
