18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
37       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 03:14:22                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 3- 7, 14: 6:16                             ; PROFILE DATE, TIME (UT) START
2013- 3- 7, 14:44:14                             ; PROFILE DATE, TIME (UT) END
2013- 3- 7, 14:25:15                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 2-16, 18:55:12                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, 1.960e+018, 5.578e+016, 350.0, 2.85, 2.00, 78.52, 2.23, 9.325e+002, 9.325e+000, 270.60, 2.00, 2.496e+025, 2.496e+023
746.0, 1.932e+018, 5.804e+016, 350.0, 3.00, 2.00, 77.61, 2.33, 9.290e+002, 9.290e+000, 270.27, 2.00, 2.490e+025, 2.490e+023
776.0, 1.897e+018, 5.999e+016, 350.0, 3.16, 2.00, 76.40, 2.42, 9.255e+002, 9.255e+000, 269.94, 2.00, 2.483e+025, 2.483e+023
806.0, 1.857e+018, 6.165e+016, 350.0, 3.32, 2.00, 74.97, 2.49, 9.220e+002, 9.220e+000, 269.60, 2.00, 2.477e+025, 2.477e+023
836.0, 1.854e+018, 6.774e+016, 350.0, 3.65, 2.00, 75.05, 2.74, 9.185e+002, 9.185e+000, 269.32, 2.00, 2.470e+025, 2.470e+023
866.0, 1.847e+018, 7.366e+016, 350.0, 3.99, 2.00, 74.98, 2.99, 9.150e+002, 9.150e+000, 269.04, 2.00, 2.463e+025, 2.463e+023
896.0, 1.813e+018, 7.838e+016, 350.0, 4.32, 2.00, 73.81, 3.19, 9.115e+002, 9.115e+000, 268.76, 2.00, 2.457e+025, 2.457e+023
926.0, 1.778e+018, 8.279e+016, 350.0, 4.66, 2.00, 72.57, 3.38, 9.081e+002, 9.081e+000, 268.47, 2.00, 2.450e+025, 2.450e+023
956.0, 1.756e+018, 8.765e+016, 350.0, 4.99, 2.00, 71.89, 3.59, 9.046e+002, 9.046e+000, 268.19, 2.00, 2.443e+025, 2.443e+023
986.0, 1.766e+018, 9.676e+016, 350.0, 5.48, 2.00, 72.49, 3.97, 9.012e+002, 9.012e+000, 267.91, 2.00, 2.436e+025, 2.436e+023
1016.0, 1.753e+018, 1.046e+017, 350.0, 5.97, 2.00, 72.17, 4.31, 8.977e+002, 8.977e+000, 267.63, 2.00, 2.429e+025, 2.429e+023
1046.0, 1.738e+018, 1.122e+017, 350.0, 6.46, 2.00, 71.72, 4.63, 8.943e+002, 8.943e+000, 267.35, 2.00, 2.423e+025, 2.423e+023
1076.0, 1.726e+018, 1.198e+017, 350.0, 6.94, 2.00, 71.44, 4.96, 8.909e+002, 8.909e+000, 267.07, 2.00, 2.416e+025, 2.416e+023
1106.0, 1.688e+018, 1.255e+017, 350.0, 7.43, 2.00, 70.07, 5.21, 8.874e+002, 8.874e+000, 266.79, 2.00, 2.409e+025, 2.409e+023
1136.0, 1.641e+018, 1.326e+017, 350.0, 8.08, 2.00, 68.32, 5.52, 8.841e+002, 8.841e+000, 266.52, 2.00, 2.402e+025, 2.402e+023
1166.0, 1.590e+018, 1.387e+017, 350.0, 8.73, 2.00, 66.35, 5.79, 8.807e+002, 8.807e+000, 266.26, 2.00, 2.396e+025, 2.396e+023
1196.0, 1.565e+018, 1.467e+017, 350.0, 9.37, 2.00, 65.50, 6.14, 8.773e+002, 8.773e+000, 265.99, 2.00, 2.389e+025, 2.389e+023
1226.0, 1.542e+018, 1.546e+017, 350.0, 10.02, 2.00, 64.75, 6.49, 8.739e+002, 8.739e+000, 265.72, 2.00, 2.382e+025, 2.382e+023
1256.0, 1.513e+018, 1.614e+017, 350.0, 10.67, 2.00, 63.69, 6.79, 8.705e+002, 8.705e+000, 265.45, 2.00, 2.375e+025, 2.375e+023
1286.0, 1.480e+018, 1.306e+017, 350.0, 8.82, 2.00, 62.50, 5.51, 8.672e+002, 8.672e+000, 265.17, 2.00, 2.369e+025, 2.369e+023
1316.0, 1.444e+018, 1.007e+017, 350.0, 6.97, 2.00, 61.15, 4.26, 8.639e+002, 8.639e+000, 264.89, 2.00, 2.362e+025, 2.362e+023
1346.0, 1.401e+018, 7.180e+016, 350.0, 5.13, 2.00, 59.47, 3.05, 8.605e+002, 8.605e+000, 264.60, 2.00, 2.355e+025, 2.355e+023
1376.0, 1.369e+018, 4.488e+016, 350.0, 3.28, 2.00, 58.28, 1.91, 8.572e+002, 8.572e+000, 264.32, 2.00, 2.349e+025, 2.349e+023
1406.0, 1.339e+018, 1.916e+016, 350.0, 1.43, 2.00, 57.16, 0.82, 8.539e+002, 8.539e+000, 264.04, 2.00, 2.342e+025, 2.342e+023
1436.0, 1.307e+018, 1.964e+016, 550.0, 1.50, 3.00, 55.94, 0.84, 8.506e+002, 8.506e+000, 263.75, 2.00, 2.336e+025, 2.336e+023
1466.0, 1.296e+018, 2.043e+016, 550.0, 1.58, 3.00, 55.66, 0.88, 8.473e+002, 8.473e+000, 263.47, 2.00, 2.329e+025, 2.329e+023
1496.0, 1.287e+018, 2.121e+016, 550.0, 1.65, 3.00, 55.42, 0.91, 8.440e+002, 8.440e+000, 263.19, 2.00, 2.323e+025, 2.323e+023
1526.0, 1.270e+018, 2.185e+016, 550.0, 1.72, 3.00, 54.83, 0.94, 8.407e+002, 8.407e+000, 262.90, 2.00, 2.316e+025, 2.316e+023
1556.0, 1.736e+018, 1.100e+016, 550.0, 0.63, 3.00, 75.17, 0.48, 8.374e+002, 8.374e+000, 262.62, 2.00, 2.310e+025, 2.310e+023
1586.0, 1.678e+018, 1.122e+016, 550.0, 0.67, 3.00, 72.86, 0.49, 8.342e+002, 8.342e+000, 262.34, 2.00, 2.303e+025, 2.303e+023
1616.0, 1.613e+018, 1.135e+016, 550.0, 0.70, 3.00, 70.25, 0.49, 8.309e+002, 8.309e+000, 262.06, 2.00, 2.296e+025, 2.296e+023
1646.0, 1.557e+018, 1.150e+016, 550.0, 0.74, 3.00, 68.00, 0.50, 8.277e+002, 8.277e+000, 261.79, 2.00, 2.290e+025, 2.290e+023
1676.0, 1.506e+018, 1.165e+016, 550.0, 0.77, 3.00, 65.94, 0.51, 8.244e+002, 8.244e+000, 261.51, 2.00, 2.283e+025, 2.283e+023
1706.0, 1.447e+018, 1.170e+016, 550.0, 0.81, 3.00, 63.56, 0.51, 8.212e+002, 8.212e+000, 261.23, 2.00, 2.277e+025, 2.277e+023
1736.0, 1.408e+018, 1.218e+016, 550.0, 0.87, 3.00, 62.00, 0.54, 8.180e+002, 8.180e+000, 260.95, 2.00, 2.270e+025, 2.270e+023
1766.0, 1.373e+018, 1.266e+016, 550.0, 0.92, 3.00, 60.63, 0.56, 8.148e+002, 8.148e+000, 260.67, 2.00, 2.264e+025, 2.264e+023
1796.0, 1.305e+018, 1.278e+016, 550.0, 0.98, 3.00, 57.81, 0.57, 8.116e+002, 8.116e+000, 260.39, 2.00, 2.258e+025, 2.258e+023
1826.0, 1.234e+018, 1.278e+016, 550.0, 1.04, 3.00, 54.82, 0.57, 8.084e+002, 8.084e+000, 260.11, 2.00, 2.251e+025, 2.251e+023
1856.0, 1.433e+018, 1.566e+016, 550.0, 1.09, 3.00, 63.85, 0.70, 8.052e+002, 8.052e+000, 259.83, 2.00, 2.245e+025, 2.245e+023
1886.0, 1.404e+018, 1.626e+016, 550.0, 1.16, 3.00, 62.72, 0.73, 8.021e+002, 8.021e+000, 259.56, 2.00, 2.238e+025, 2.238e+023
1916.0, 1.374e+018, 1.683e+016, 550.0, 1.22, 3.00, 61.59, 0.75, 7.989e+002, 7.989e+000, 259.30, 2.00, 2.232e+025, 2.232e+023
