18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
20       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
496                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 01:36:47                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 5-14, 21:18:48                             ; PROFILE DATE, TIME (UT) START
2013- 5-14, 21:20:54                             ; PROFILE DATE, TIME (UT) END
2013- 5-14, 21:19:51                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 5-11, 18:44:22                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
296.0, 1.635e+018, 1.112e+017, 200.0, 6.80, 1.00, 68.36, 4.65, 9.733e+002, 9.733e+000, 294.81, 2.00, 2.391e+025, 2.391e+023
326.0, 1.637e+018, 7.126e+016, 200.0, 4.35, 1.00, 68.59, 2.99, 9.704e+002, 9.704e+000, 294.48, 2.00, 2.387e+025, 2.387e+023
356.0, 1.640e+018, 3.122e+016, 200.0, 1.90, 1.00, 68.83, 1.31, 9.674e+002, 9.674e+000, 294.15, 2.00, 2.382e+025, 2.382e+023
386.0, 1.641e+018, 3.454e+016, 200.0, 2.10, 1.00, 69.07, 1.45, 9.641e+002, 9.641e+000, 293.84, 2.00, 2.376e+025, 2.376e+023
416.0, 1.643e+018, 3.787e+016, 200.0, 2.30, 1.00, 69.32, 1.60, 9.608e+002, 9.608e+000, 293.53, 2.00, 2.371e+025, 2.371e+023
446.0, 1.645e+018, 4.121e+016, 350.0, 2.50, 2.00, 69.57, 1.74, 9.575e+002, 9.575e+000, 293.22, 2.00, 2.365e+025, 2.365e+023
476.0, 1.635e+018, 4.423e+016, 350.0, 2.70, 2.00, 69.31, 1.87, 9.541e+002, 9.541e+000, 292.91, 2.00, 2.359e+025, 2.359e+023
506.0, 1.625e+018, 4.721e+016, 350.0, 2.91, 2.00, 69.05, 2.01, 9.508e+002, 9.508e+000, 292.60, 2.00, 2.354e+025, 2.354e+023
536.0, 1.621e+018, 4.897e+016, 350.0, 3.02, 2.00, 69.06, 2.09, 9.475e+002, 9.475e+000, 292.31, 2.00, 2.348e+025, 2.348e+023
566.0, 1.613e+018, 5.058e+016, 350.0, 3.14, 2.00, 68.89, 2.16, 9.442e+002, 9.442e+000, 292.02, 2.00, 2.342e+025, 2.342e+023
596.0, 1.606e+018, 5.220e+016, 350.0, 3.25, 2.00, 68.75, 2.23, 9.409e+002, 9.409e+000, 291.74, 2.00, 2.336e+025, 2.336e+023
626.0, 1.602e+018, 5.394e+016, 350.0, 3.37, 2.00, 68.77, 2.31, 9.376e+002, 9.376e+000, 291.45, 2.00, 2.330e+025, 2.330e+023
656.0, 1.597e+018, 5.560e+016, 350.0, 3.48, 2.00, 68.72, 2.39, 9.344e+002, 9.344e+000, 291.16, 2.00, 2.324e+025, 2.324e+023
686.0, 1.593e+018, 5.697e+016, 350.0, 3.58, 2.00, 68.69, 2.46, 9.311e+002, 9.311e+000, 290.88, 2.00, 2.318e+025, 2.318e+023
716.0, 1.590e+018, 5.842e+016, 350.0, 3.67, 2.00, 68.77, 2.53, 9.279e+002, 9.279e+000, 290.61, 2.00, 2.312e+025, 2.312e+023
746.0, 1.589e+018, 5.989e+016, 350.0, 3.77, 2.00, 68.87, 2.60, 9.246e+002, 9.246e+000, 290.33, 2.00, 2.307e+025, 2.307e+023
776.0, 1.587e+018, 6.135e+016, 350.0, 3.87, 2.00, 68.97, 2.67, 9.214e+002, 9.214e+000, 290.06, 2.00, 2.301e+025, 2.301e+023
806.0, 1.584e+018, 6.277e+016, 350.0, 3.96, 2.00, 69.02, 2.74, 9.181e+002, 9.181e+000, 289.78, 2.00, 2.295e+025, 2.295e+023
836.0, 1.580e+018, 6.435e+016, 350.0, 4.07, 2.00, 69.01, 2.81, 9.149e+002, 9.149e+000, 289.52, 2.00, 2.289e+025, 2.289e+023
866.0, 1.576e+018, 6.594e+016, 350.0, 4.19, 2.00, 69.02, 2.89, 9.117e+002, 9.117e+000, 289.27, 2.00, 2.283e+025, 2.283e+023
896.0, 1.573e+018, 6.760e+016, 350.0, 4.30, 2.00, 69.10, 2.97, 9.085e+002, 9.085e+000, 289.01, 2.00, 2.277e+025, 2.277e+023
926.0, 1.565e+018, 6.898e+016, 350.0, 4.41, 2.00, 68.91, 3.04, 9.053e+002, 9.053e+000, 288.75, 2.00, 2.271e+025, 2.271e+023
956.0, 1.554e+018, 7.024e+016, 350.0, 4.52, 2.00, 68.62, 3.10, 9.021e+002, 9.021e+000, 288.50, 2.00, 2.265e+025, 2.265e+023
986.0, 1.542e+018, 7.218e+016, 350.0, 4.68, 2.00, 68.24, 3.20, 8.989e+002, 8.989e+000, 288.21, 2.00, 2.259e+025, 2.259e+023
1016.0, 1.537e+018, 7.446e+016, 350.0, 4.84, 2.00, 68.22, 3.30, 8.957e+002, 8.957e+000, 287.92, 2.00, 2.253e+025, 2.253e+023
1046.0, 1.533e+018, 7.675e+016, 350.0, 5.01, 2.00, 68.22, 3.41, 8.926e+002, 8.926e+000, 287.63, 2.00, 2.248e+025, 2.248e+023
1076.0, 1.527e+018, 7.892e+016, 350.0, 5.17, 2.00, 68.12, 3.52, 8.894e+002, 8.894e+000, 287.34, 2.00, 2.242e+025, 2.242e+023
1106.0, 1.511e+018, 8.051e+016, 350.0, 5.33, 2.00, 67.55, 3.60, 8.862e+002, 8.862e+000, 287.05, 2.00, 2.236e+025, 2.236e+023
1136.0, 1.493e+018, 8.324e+016, 350.0, 5.58, 2.00, 66.97, 3.73, 8.831e+002, 8.831e+000, 286.95, 2.00, 2.229e+025, 2.229e+023
1166.0, 1.478e+018, 8.604e+016, 350.0, 5.82, 2.00, 66.50, 3.87, 8.800e+002, 8.800e+000, 286.85, 2.00, 2.222e+025, 2.222e+023
1196.0, 1.468e+018, 8.910e+016, 350.0, 6.07, 2.00, 66.28, 4.02, 8.769e+002, 8.769e+000, 286.75, 2.00, 2.215e+025, 2.215e+023
1226.0, 1.460e+018, 9.221e+016, 350.0, 6.32, 2.00, 66.13, 4.18, 8.738e+002, 8.738e+000, 286.65, 2.00, 2.208e+025, 2.208e+023
1256.0, 1.452e+018, 9.529e+016, 350.0, 6.56, 2.00, 65.99, 4.33, 8.706e+002, 8.706e+000, 286.55, 2.00, 2.201e+025, 2.201e+023
1286.0, 1.455e+018, 7.991e+016, 350.0, 5.49, 2.00, 66.33, 3.64, 8.676e+002, 8.676e+000, 286.49, 2.00, 2.193e+025, 2.193e+023
1316.0, 1.462e+018, 6.469e+016, 350.0, 4.42, 2.00, 66.90, 2.96, 8.645e+002, 8.645e+000, 286.44, 2.00, 2.186e+025, 2.186e+023
1346.0, 1.475e+018, 4.948e+016, 350.0, 3.35, 2.00, 67.73, 2.27, 8.614e+002, 8.614e+000, 286.38, 2.00, 2.179e+025, 2.179e+023
1376.0, 1.479e+018, 3.378e+016, 350.0, 2.28, 2.00, 68.12, 1.56, 8.583e+002, 8.583e+000, 286.33, 2.00, 2.171e+025, 2.171e+023
1406.0, 1.479e+018, 1.796e+016, 350.0, 1.21, 2.00, 68.35, 0.83, 8.553e+002, 8.553e+000, 286.27, 2.00, 2.164e+025, 2.164e+023
1436.0, 1.476e+018, 1.804e+016, 550.0, 1.22, 3.00, 68.40, 0.84, 8.522e+002, 8.522e+000, 286.09, 2.00, 2.158e+025, 2.158e+023
1466.0, 1.460e+018, 1.797e+016, 550.0, 1.23, 3.00, 67.88, 0.84, 8.492e+002, 8.492e+000, 285.90, 2.00, 2.151e+025, 2.151e+023
1496.0, 1.444e+018, 1.788e+016, 550.0, 1.24, 3.00, 67.33, 0.83, 8.462e+002, 8.462e+000, 285.72, 2.00, 2.145e+025, 2.145e+023
1526.0, 1.433e+018, 1.786e+016, 550.0, 1.25, 3.00, 67.01, 0.84, 8.432e+002, 8.432e+000, 285.53, 2.00, 2.139e+025, 2.139e+023
