18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
37       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 19:05:13                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 3-28, 14:50:14                             ; PROFILE DATE, TIME (UT) START
2013- 3-28, 15: 7: 6                             ; PROFILE DATE, TIME (UT) END
2013- 3-28, 14:58:40                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 4-27, 18:16:30                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, 1.556e+018, 4.337e+016, 350.0, 2.79, 2.00, 66.00, 1.84, 9.380e+002, 9.380e+000, 288.17, 2.00, 2.357e+025, 2.357e+023
746.0, 1.545e+018, 4.712e+016, 350.0, 3.05, 2.00, 65.70, 2.00, 9.347e+002, 9.347e+000, 287.81, 2.00, 2.352e+025, 2.352e+023
776.0, 1.541e+018, 5.103e+016, 350.0, 3.31, 2.00, 65.68, 2.17, 9.313e+002, 9.313e+000, 287.44, 2.00, 2.347e+025, 2.347e+023
806.0, 1.561e+018, 5.575e+016, 350.0, 3.57, 2.00, 66.65, 2.38, 9.280e+002, 9.280e+000, 287.07, 2.00, 2.341e+025, 2.341e+023
836.0, 1.534e+018, 6.058e+016, 350.0, 3.95, 2.00, 65.71, 2.59, 9.248e+002, 9.248e+000, 286.87, 2.00, 2.335e+025, 2.335e+023
866.0, 1.514e+018, 6.549e+016, 350.0, 4.33, 2.00, 65.04, 2.81, 9.215e+002, 9.215e+000, 286.67, 2.00, 2.328e+025, 2.328e+023
896.0, 1.531e+018, 7.201e+016, 350.0, 4.70, 2.00, 65.97, 3.10, 9.182e+002, 9.182e+000, 286.47, 2.00, 2.321e+025, 2.321e+023
926.0, 1.522e+018, 7.731e+016, 350.0, 5.08, 2.00, 65.76, 3.34, 9.149e+002, 9.149e+000, 286.28, 2.00, 2.315e+025, 2.315e+023
956.0, 1.507e+018, 8.220e+016, 350.0, 5.46, 2.00, 65.28, 3.56, 9.117e+002, 9.117e+000, 286.08, 2.00, 2.308e+025, 2.308e+023
986.0, 1.491e+018, 9.036e+016, 350.0, 6.06, 2.00, 64.78, 3.93, 9.084e+002, 9.084e+000, 285.89, 2.00, 2.301e+025, 2.301e+023
1016.0, 1.493e+018, 9.954e+016, 350.0, 6.67, 2.00, 65.06, 4.34, 9.052e+002, 9.052e+000, 285.71, 2.00, 2.295e+025, 2.295e+023
1046.0, 1.496e+018, 1.088e+017, 350.0, 7.27, 2.00, 65.37, 4.75, 9.020e+002, 9.020e+000, 285.52, 2.00, 2.288e+025, 2.288e+023
1076.0, 1.490e+018, 1.174e+017, 350.0, 7.88, 2.00, 65.31, 5.15, 8.988e+002, 8.988e+000, 285.34, 2.00, 2.281e+025, 2.281e+023
1106.0, 1.462e+018, 1.240e+017, 350.0, 8.48, 2.00, 64.26, 5.45, 8.955e+002, 8.955e+000, 285.16, 2.00, 2.275e+025, 2.275e+023
1136.0, 1.435e+018, 1.374e+017, 350.0, 9.57, 2.00, 63.29, 6.06, 8.924e+002, 8.924e+000, 284.98, 2.00, 2.268e+025, 2.268e+023
1166.0, 1.426e+018, 1.520e+017, 350.0, 10.66, 2.00, 63.06, 6.72, 8.892e+002, 8.892e+000, 284.81, 2.00, 2.261e+025, 2.261e+023
1196.0, 1.411e+018, 1.658e+017, 350.0, 11.75, 2.00, 62.58, 7.35, 8.860e+002, 8.860e+000, 284.63, 2.00, 2.255e+025, 2.255e+023
1226.0, 1.410e+018, 1.811e+017, 350.0, 12.84, 2.00, 62.74, 8.06, 8.828e+002, 8.828e+000, 284.46, 2.00, 2.248e+025, 2.248e+023
1256.0, 1.443e+018, 2.010e+017, 350.0, 13.93, 2.00, 64.40, 8.97, 8.797e+002, 8.797e+000, 284.29, 2.00, 2.241e+025, 2.241e+023
1286.0, 1.443e+018, 1.663e+017, 350.0, 11.52, 2.00, 64.60, 7.44, 8.765e+002, 8.765e+000, 284.10, 2.00, 2.235e+025, 2.235e+023
1316.0, 1.417e+018, 1.290e+017, 350.0, 9.11, 2.00, 63.58, 5.79, 8.734e+002, 8.734e+000, 283.91, 2.00, 2.228e+025, 2.228e+023
1346.0, 1.347e+018, 9.016e+016, 350.0, 6.70, 2.00, 60.61, 4.06, 8.703e+002, 8.703e+000, 283.72, 2.00, 2.222e+025, 2.222e+023
1376.0, 1.362e+018, 5.835e+016, 350.0, 4.28, 2.00, 61.50, 2.63, 8.671e+002, 8.671e+000, 283.54, 2.00, 2.215e+025, 2.215e+023
1406.0, 1.390e+018, 2.602e+016, 350.0, 1.87, 2.00, 62.94, 1.18, 8.640e+002, 8.640e+000, 283.35, 2.00, 2.209e+025, 2.209e+023
1436.0, 1.401e+018, 2.760e+016, 550.0, 1.97, 3.00, 63.62, 1.25, 8.609e+002, 8.609e+000, 283.17, 2.00, 2.202e+025, 2.202e+023
1466.0, 1.373e+018, 2.839e+016, 550.0, 2.07, 3.00, 62.52, 1.29, 8.578e+002, 8.578e+000, 283.00, 2.00, 2.195e+025, 2.195e+023
1496.0, 1.339e+018, 2.901e+016, 550.0, 2.17, 3.00, 61.17, 1.33, 8.547e+002, 8.547e+000, 282.82, 2.00, 2.189e+025, 2.189e+023
1526.0, 1.315e+018, 2.977e+016, 550.0, 2.26, 3.00, 60.24, 1.36, 8.517e+002, 8.517e+000, 282.65, 2.00, 2.182e+025, 2.182e+023
1556.0, 1.414e+018, 1.180e+016, 550.0, 0.83, 3.00, 64.97, 0.54, 8.486e+002, 8.486e+000, 282.47, 2.00, 2.176e+025, 2.176e+023
1586.0, 1.401e+018, 1.229e+016, 550.0, 0.88, 3.00, 64.60, 0.57, 8.455e+002, 8.455e+000, 282.36, 2.00, 2.169e+025, 2.169e+023
1616.0, 1.389e+018, 1.276e+016, 550.0, 0.92, 3.00, 64.23, 0.59, 8.425e+002, 8.425e+000, 282.25, 2.00, 2.162e+025, 2.162e+023
1646.0, 1.393e+018, 1.339e+016, 550.0, 0.96, 3.00, 64.64, 0.62, 8.394e+002, 8.394e+000, 282.14, 2.00, 2.155e+025, 2.155e+023
1676.0, 1.402e+018, 1.406e+016, 550.0, 1.00, 3.00, 65.26, 0.65, 8.364e+002, 8.364e+000, 282.03, 2.00, 2.148e+025, 2.148e+023
1706.0, 1.386e+018, 1.448e+016, 550.0, 1.05, 3.00, 64.74, 0.68, 8.333e+002, 8.333e+000, 281.92, 2.00, 2.141e+025, 2.141e+023
1736.0, 1.399e+018, 1.529e+016, 550.0, 1.09, 3.00, 65.58, 0.72, 8.303e+002, 8.303e+000, 281.81, 2.00, 2.134e+025, 2.134e+023
1766.0, 1.421e+018, 1.619e+016, 550.0, 1.14, 3.00, 66.79, 0.76, 8.273e+002, 8.273e+000, 281.70, 2.00, 2.127e+025, 2.127e+023
1796.0, 1.431e+018, 1.698e+016, 550.0, 1.19, 3.00, 67.47, 0.80, 8.244e+002, 8.244e+000, 281.58, 2.00, 2.120e+025, 2.120e+023
1826.0, 1.420e+018, 1.753e+016, 550.0, 1.23, 3.00, 67.16, 0.83, 8.214e+002, 8.214e+000, 281.47, 2.00, 2.114e+025, 2.114e+023
1856.0, 1.325e+018, 1.698e+016, 550.0, 1.28, 3.00, 62.89, 0.81, 8.184e+002, 8.184e+000, 281.35, 2.00, 2.107e+025, 2.107e+023
1886.0, 1.323e+018, 1.760e+016, 550.0, 1.33, 3.00, 63.00, 0.84, 8.154e+002, 8.154e+000, 281.29, 2.00, 2.100e+025, 2.100e+023
1916.0, 1.320e+018, 1.821e+016, 550.0, 1.38, 3.00, 63.11, 0.87, 8.125e+002, 8.125e+000, 281.23, 2.00, 2.092e+025, 2.092e+023
1946.0, 1.318e+018, 1.882e+016, 550.0, 1.43, 3.00, 63.22, 0.90, 8.095e+002, 8.095e+000, 281.17, 2.00, 2.085e+025, 2.085e+023
