18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
8        ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 21:02:56                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 4-29, 21:24:26                             ; PROFILE DATE, TIME (UT) START
2013- 4-29, 21:31:10                             ; PROFILE DATE, TIME (UT) END
2013- 4-29, 21:27:48                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 4-27, 18:16:30                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, 1.591e+018, 7.301e+016, 350.0, 4.59, 2.00, 67.47, 3.10, 9.380e+002, 9.380e+000, 288.17, 2.00, 2.357e+025, 2.357e+023
746.0, 1.625e+018, 8.119e+016, 350.0, 5.00, 2.00, 69.08, 3.45, 9.347e+002, 9.347e+000, 287.81, 2.00, 2.352e+025, 2.352e+023
776.0, 1.632e+018, 8.819e+016, 350.0, 5.40, 2.00, 69.55, 3.76, 9.313e+002, 9.313e+000, 287.44, 2.00, 2.347e+025, 2.347e+023
806.0, 1.583e+018, 9.194e+016, 350.0, 5.81, 2.00, 67.59, 3.93, 9.280e+002, 9.280e+000, 287.07, 2.00, 2.341e+025, 2.341e+023
836.0, 1.594e+018, 1.019e+017, 350.0, 6.39, 2.00, 68.28, 4.36, 9.248e+002, 9.248e+000, 286.87, 2.00, 2.335e+025, 2.335e+023
866.0, 1.612e+018, 1.123e+017, 350.0, 6.97, 2.00, 69.25, 4.83, 9.215e+002, 9.215e+000, 286.67, 2.00, 2.328e+025, 2.328e+023
896.0, 1.613e+018, 1.218e+017, 350.0, 7.55, 2.00, 69.49, 5.24, 9.182e+002, 9.182e+000, 286.47, 2.00, 2.321e+025, 2.321e+023
926.0, 1.629e+018, 1.324e+017, 350.0, 8.13, 2.00, 70.38, 5.72, 9.149e+002, 9.149e+000, 286.28, 2.00, 2.315e+025, 2.315e+023
956.0, 1.635e+018, 1.424e+017, 350.0, 8.71, 2.00, 70.84, 6.17, 9.117e+002, 9.117e+000, 286.08, 2.00, 2.308e+025, 2.308e+023
986.0, 1.610e+018, 1.550e+017, 350.0, 9.62, 2.00, 69.98, 6.73, 9.084e+002, 9.084e+000, 285.89, 2.00, 2.301e+025, 2.301e+023
1016.0, 1.614e+018, 1.701e+017, 350.0, 10.54, 2.00, 70.35, 7.41, 9.052e+002, 9.052e+000, 285.71, 2.00, 2.295e+025, 2.295e+023
1046.0, 1.622e+018, 1.858e+017, 350.0, 11.45, 2.00, 70.90, 8.12, 9.020e+002, 9.020e+000, 285.52, 2.00, 2.288e+025, 2.288e+023
1076.0, 1.624e+018, 2.009e+017, 350.0, 12.36, 2.00, 71.21, 8.80, 8.988e+002, 8.988e+000, 285.34, 2.00, 2.281e+025, 2.281e+023
1106.0, 1.599e+018, 2.123e+017, 350.0, 13.28, 2.00, 70.28, 9.33, 8.955e+002, 8.955e+000, 285.16, 2.00, 2.275e+025, 2.275e+023
1136.0, 1.563e+018, 2.324e+017, 350.0, 14.86, 2.00, 68.94, 10.25, 8.924e+002, 8.924e+000, 284.98, 2.00, 2.268e+025, 2.268e+023
1166.0, 1.522e+018, 2.503e+017, 350.0, 16.45, 2.00, 67.31, 11.07, 8.892e+002, 8.892e+000, 284.81, 2.00, 2.261e+025, 2.261e+023
1196.0, 1.502e+018, 2.708e+017, 350.0, 18.03, 2.00, 66.61, 12.01, 8.860e+002, 8.860e+000, 284.63, 2.00, 2.255e+025, 2.255e+023
1226.0, 1.491e+018, 2.924e+017, 350.0, 19.61, 2.00, 66.33, 13.01, 8.828e+002, 8.828e+000, 284.46, 2.00, 2.248e+025, 2.248e+023
1256.0, 1.489e+018, 3.157e+017, 350.0, 21.20, 2.00, 66.46, 14.09, 8.797e+002, 8.797e+000, 284.29, 2.00, 2.241e+025, 2.241e+023
1286.0, 1.485e+018, 2.598e+017, 350.0, 17.50, 2.00, 66.44, 11.63, 8.765e+002, 8.765e+000, 284.10, 2.00, 2.235e+025, 2.235e+023
1316.0, 1.470e+018, 2.029e+017, 350.0, 13.80, 2.00, 65.97, 9.10, 8.734e+002, 8.734e+000, 283.91, 2.00, 2.228e+025, 2.228e+023
1346.0, 1.435e+018, 1.450e+017, 350.0, 10.10, 2.00, 64.61, 6.53, 8.703e+002, 8.703e+000, 283.72, 2.00, 2.222e+025, 2.222e+023
1376.0, 1.410e+018, 9.031e+016, 350.0, 6.40, 2.00, 63.66, 4.08, 8.671e+002, 8.671e+000, 283.54, 2.00, 2.215e+025, 2.215e+023
1406.0, 1.386e+018, 3.751e+016, 350.0, 2.71, 2.00, 62.77, 1.70, 8.640e+002, 8.640e+000, 283.35, 2.00, 2.209e+025, 2.209e+023
1436.0, 1.360e+018, 3.850e+016, 550.0, 2.83, 3.00, 61.76, 1.75, 8.609e+002, 8.609e+000, 283.17, 2.00, 2.202e+025, 2.202e+023
1466.0, 1.361e+018, 4.024e+016, 550.0, 2.96, 3.00, 62.00, 1.83, 8.578e+002, 8.578e+000, 283.00, 2.00, 2.195e+025, 2.195e+023
1496.0, 1.357e+018, 4.182e+016, 550.0, 3.08, 3.00, 62.00, 1.91, 8.547e+002, 8.547e+000, 282.82, 2.00, 2.189e+025, 2.189e+023
1526.0, 1.327e+018, 4.256e+016, 550.0, 3.21, 3.00, 60.81, 1.95, 8.517e+002, 8.517e+000, 282.65, 2.00, 2.182e+025, 2.182e+023
1556.0, 1.363e+018, 1.605e+016, 550.0, 1.18, 3.00, 62.65, 0.74, 8.486e+002, 8.486e+000, 282.47, 2.00, 2.176e+025, 2.176e+023
1586.0, 1.355e+018, 1.664e+016, 550.0, 1.23, 3.00, 62.45, 0.77, 8.455e+002, 8.455e+000, 282.36, 2.00, 2.169e+025, 2.169e+023
1616.0, 1.337e+018, 1.710e+016, 550.0, 1.28, 3.00, 61.85, 0.79, 8.425e+002, 8.425e+000, 282.25, 2.00, 2.162e+025, 2.162e+023
1646.0, 1.318e+018, 1.753e+016, 550.0, 1.33, 3.00, 61.18, 0.81, 8.394e+002, 8.394e+000, 282.14, 2.00, 2.155e+025, 2.155e+023
1676.0, 1.297e+018, 1.790e+016, 550.0, 1.38, 3.00, 60.36, 0.83, 8.364e+002, 8.364e+000, 282.03, 2.00, 2.148e+025, 2.148e+023
1706.0, 1.268e+018, 1.816e+016, 550.0, 1.43, 3.00, 59.24, 0.85, 8.333e+002, 8.333e+000, 281.92, 2.00, 2.141e+025, 2.141e+023
1736.0, 1.251e+018, 1.858e+016, 550.0, 1.49, 3.00, 58.61, 0.87, 8.303e+002, 8.303e+000, 281.81, 2.00, 2.134e+025, 2.134e+023
1766.0, 1.234e+018, 1.900e+016, 550.0, 1.54, 3.00, 58.02, 0.89, 8.273e+002, 8.273e+000, 281.70, 2.00, 2.127e+025, 2.127e+023
1796.0, 1.211e+018, 1.928e+016, 550.0, 1.59, 3.00, 57.09, 0.91, 8.244e+002, 8.244e+000, 281.58, 2.00, 2.120e+025, 2.120e+023
1826.0, 1.189e+018, 1.958e+016, 550.0, 1.65, 3.00, 56.25, 0.93, 8.214e+002, 8.214e+000, 281.47, 2.00, 2.114e+025, 2.114e+023
1856.0, 1.364e+018, 2.319e+016, 550.0, 1.70, 3.00, 64.74, 1.10, 8.184e+002, 8.184e+000, 281.35, 2.00, 2.107e+025, 2.107e+023
1886.0, 1.367e+018, 2.398e+016, 550.0, 1.75, 3.00, 65.13, 1.14, 8.154e+002, 8.154e+000, 281.29, 2.00, 2.100e+025, 2.100e+023
1916.0, 1.371e+018, 2.478e+016, 550.0, 1.81, 3.00, 65.52, 1.18, 8.125e+002, 8.125e+000, 281.23, 2.00, 2.092e+025, 2.092e+023
1946.0, 1.374e+018, 2.558e+016, 550.0, 1.86, 3.00, 65.91, 1.23, 8.095e+002, 8.095e+000, 281.17, 2.00, 2.085e+025, 2.085e+023
