18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
34       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 03:22:39                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 3- 8, 14:22:24                             ; PROFILE DATE, TIME (UT) START
2013- 3- 8, 14:32:56                             ; PROFILE DATE, TIME (UT) END
2013- 3- 8, 14:27:40                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 2-16, 18:55:12                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, 1.371e+018, 4.437e+016, 350.0, 3.24, 2.00, 54.94, 1.78, 9.325e+002, 9.325e+000, 270.60, 2.00, 2.496e+025, 2.496e+023
746.0, 1.398e+018, 4.896e+016, 350.0, 3.50, 2.00, 56.15, 1.97, 9.290e+002, 9.290e+000, 270.27, 2.00, 2.490e+025, 2.490e+023
776.0, 1.412e+018, 5.323e+016, 350.0, 3.77, 2.00, 56.87, 2.14, 9.255e+002, 9.255e+000, 269.94, 2.00, 2.483e+025, 2.483e+023
806.0, 1.406e+018, 5.675e+016, 350.0, 4.04, 2.00, 56.77, 2.29, 9.220e+002, 9.220e+000, 269.60, 2.00, 2.477e+025, 2.477e+023
836.0, 1.392e+018, 6.092e+016, 350.0, 4.38, 2.00, 56.37, 2.47, 9.185e+002, 9.185e+000, 269.32, 2.00, 2.470e+025, 2.470e+023
866.0, 1.384e+018, 6.523e+016, 350.0, 4.71, 2.00, 56.17, 2.65, 9.150e+002, 9.150e+000, 269.04, 2.00, 2.463e+025, 2.463e+023
896.0, 1.390e+018, 7.023e+016, 350.0, 5.05, 2.00, 56.57, 2.86, 9.115e+002, 9.115e+000, 268.76, 2.00, 2.457e+025, 2.457e+023
926.0, 1.394e+018, 7.519e+016, 350.0, 5.39, 2.00, 56.91, 3.07, 9.081e+002, 9.081e+000, 268.47, 2.00, 2.450e+025, 2.450e+023
956.0, 1.397e+018, 8.010e+016, 350.0, 5.73, 2.00, 57.20, 3.28, 9.046e+002, 9.046e+000, 268.19, 2.00, 2.443e+025, 2.443e+023
986.0, 1.399e+018, 8.720e+016, 350.0, 6.23, 2.00, 57.42, 3.58, 9.012e+002, 9.012e+000, 267.91, 2.00, 2.436e+025, 2.436e+023
1016.0, 1.399e+018, 9.425e+016, 350.0, 6.73, 2.00, 57.60, 3.88, 8.977e+002, 8.977e+000, 267.63, 2.00, 2.429e+025, 2.429e+023
1046.0, 1.408e+018, 1.019e+017, 350.0, 7.24, 2.00, 58.12, 4.21, 8.943e+002, 8.943e+000, 267.35, 2.00, 2.423e+025, 2.423e+023
1076.0, 1.435e+018, 1.110e+017, 350.0, 7.74, 2.00, 59.38, 4.59, 8.909e+002, 8.909e+000, 267.07, 2.00, 2.416e+025, 2.416e+023
1106.0, 1.421e+018, 1.171e+017, 350.0, 8.24, 2.00, 58.98, 4.86, 8.874e+002, 8.874e+000, 266.79, 2.00, 2.409e+025, 2.409e+023
1136.0, 1.409e+018, 1.277e+017, 350.0, 9.07, 2.00, 58.63, 5.32, 8.841e+002, 8.841e+000, 266.52, 2.00, 2.402e+025, 2.402e+023
1166.0, 1.421e+018, 1.406e+017, 350.0, 9.89, 2.00, 59.31, 5.87, 8.807e+002, 8.807e+000, 266.26, 2.00, 2.396e+025, 2.396e+023
1196.0, 1.424e+018, 1.527e+017, 350.0, 10.72, 2.00, 59.61, 6.39, 8.773e+002, 8.773e+000, 265.99, 2.00, 2.389e+025, 2.389e+023
1226.0, 1.417e+018, 1.637e+017, 350.0, 11.55, 2.00, 59.49, 6.87, 8.739e+002, 8.739e+000, 265.72, 2.00, 2.382e+025, 2.382e+023
1256.0, 1.393e+018, 1.724e+017, 350.0, 12.38, 2.00, 58.65, 7.26, 8.705e+002, 8.705e+000, 265.45, 2.00, 2.375e+025, 2.375e+023
1286.0, 1.361e+018, 1.390e+017, 350.0, 10.22, 2.00, 57.45, 5.87, 8.672e+002, 8.672e+000, 265.17, 2.00, 2.369e+025, 2.369e+023
1316.0, 1.325e+018, 1.067e+017, 350.0, 8.06, 2.00, 56.09, 4.52, 8.639e+002, 8.639e+000, 264.89, 2.00, 2.362e+025, 2.362e+023
1346.0, 1.285e+018, 7.579e+016, 350.0, 5.90, 2.00, 54.57, 3.22, 8.605e+002, 8.605e+000, 264.60, 2.00, 2.355e+025, 2.355e+023
1376.0, 1.265e+018, 4.727e+016, 350.0, 3.74, 2.00, 53.87, 2.01, 8.572e+002, 8.572e+000, 264.32, 2.00, 2.349e+025, 2.349e+023
1406.0, 1.253e+018, 1.975e+016, 350.0, 1.58, 2.00, 53.51, 0.84, 8.539e+002, 8.539e+000, 264.04, 2.00, 2.342e+025, 2.342e+023
1436.0, 1.249e+018, 2.059e+016, 550.0, 1.65, 3.00, 53.46, 0.88, 8.506e+002, 8.506e+000, 263.75, 2.00, 2.336e+025, 2.336e+023
1466.0, 1.241e+018, 2.137e+016, 550.0, 1.72, 3.00, 53.27, 0.92, 8.473e+002, 8.473e+000, 263.47, 2.00, 2.329e+025, 2.329e+023
1496.0, 1.234e+018, 2.216e+016, 550.0, 1.80, 3.00, 53.14, 0.95, 8.440e+002, 8.440e+000, 263.19, 2.00, 2.323e+025, 2.323e+023
1526.0, 1.231e+018, 2.302e+016, 550.0, 1.87, 3.00, 53.17, 0.99, 8.407e+002, 8.407e+000, 262.90, 2.00, 2.316e+025, 2.316e+023
1556.0, 1.341e+018, 9.203e+015, 550.0, 0.69, 3.00, 58.06, 0.40, 8.374e+002, 8.374e+000, 262.62, 2.00, 2.310e+025, 2.310e+023
1586.0, 1.318e+018, 9.459e+015, 550.0, 0.72, 3.00, 57.22, 0.41, 8.342e+002, 8.342e+000, 262.34, 2.00, 2.303e+025, 2.303e+023
1616.0, 1.300e+018, 9.741e+015, 550.0, 0.75, 3.00, 56.62, 0.42, 8.309e+002, 8.309e+000, 262.06, 2.00, 2.296e+025, 2.296e+023
1646.0, 1.284e+018, 1.002e+016, 550.0, 0.78, 3.00, 56.05, 0.44, 8.277e+002, 8.277e+000, 261.79, 2.00, 2.290e+025, 2.290e+023
1676.0, 1.267e+018, 1.029e+016, 550.0, 0.81, 3.00, 55.50, 0.45, 8.244e+002, 8.244e+000, 261.51, 2.00, 2.283e+025, 2.283e+023
1706.0, 1.250e+018, 1.055e+016, 550.0, 0.84, 3.00, 54.92, 0.46, 8.212e+002, 8.212e+000, 261.23, 2.00, 2.277e+025, 2.277e+023
1736.0, 1.245e+018, 1.096e+016, 550.0, 0.88, 3.00, 54.82, 0.48, 8.180e+002, 8.180e+000, 260.95, 2.00, 2.270e+025, 2.270e+023
1766.0, 1.236e+018, 1.134e+016, 550.0, 0.92, 3.00, 54.58, 0.50, 8.148e+002, 8.148e+000, 260.67, 2.00, 2.264e+025, 2.264e+023
1796.0, 1.203e+018, 1.148e+016, 550.0, 0.95, 3.00, 53.28, 0.51, 8.116e+002, 8.116e+000, 260.39, 2.00, 2.258e+025, 2.258e+023
1826.0, 1.187e+018, 1.177e+016, 550.0, 0.99, 3.00, 52.72, 0.52, 8.084e+002, 8.084e+000, 260.11, 2.00, 2.251e+025, 2.251e+023
1856.0, 1.250e+018, 1.286e+016, 550.0, 1.03, 3.00, 55.70, 0.57, 8.052e+002, 8.052e+000, 259.83, 2.00, 2.245e+025, 2.245e+023
1886.0, 1.243e+018, 1.329e+016, 550.0, 1.07, 3.00, 55.54, 0.59, 8.021e+002, 8.021e+000, 259.56, 2.00, 2.238e+025, 2.238e+023
1916.0, 1.236e+018, 1.372e+016, 550.0, 1.11, 3.00, 55.39, 0.62, 7.989e+002, 7.989e+000, 259.30, 2.00, 2.232e+025, 2.232e+023
