18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
24       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 04:23:51                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 4-30, 17:24:55                             ; PROFILE DATE, TIME (UT) START
2013- 4-30, 17:41:47                             ; PROFILE DATE, TIME (UT) END
2013- 4-30, 17:33:21                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 4-27, 18:16:30                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, 1.380e+018, 3.077e+016, 350.0, 2.23, 2.00, 58.56, 1.31, 9.380e+002, 9.380e+000, 288.17, 2.00, 2.357e+025, 2.357e+023
746.0, 1.379e+018, 3.320e+016, 350.0, 2.41, 2.00, 58.64, 1.41, 9.347e+002, 9.347e+000, 287.81, 2.00, 2.352e+025, 2.352e+023
776.0, 1.382e+018, 3.573e+016, 350.0, 2.58, 2.00, 58.90, 1.52, 9.313e+002, 9.313e+000, 287.44, 2.00, 2.347e+025, 2.347e+023
806.0, 1.389e+018, 3.837e+016, 350.0, 2.76, 2.00, 59.32, 1.64, 9.280e+002, 9.280e+000, 287.07, 2.00, 2.341e+025, 2.341e+023
836.0, 1.380e+018, 4.137e+016, 350.0, 3.00, 2.00, 59.11, 1.77, 9.248e+002, 9.248e+000, 286.87, 2.00, 2.335e+025, 2.335e+023
866.0, 1.372e+018, 4.435e+016, 350.0, 3.23, 2.00, 58.92, 1.90, 9.215e+002, 9.215e+000, 286.67, 2.00, 2.328e+025, 2.328e+023
896.0, 1.373e+018, 4.761e+016, 350.0, 3.47, 2.00, 59.13, 2.05, 9.182e+002, 9.182e+000, 286.47, 2.00, 2.321e+025, 2.321e+023
926.0, 1.366e+018, 5.061e+016, 350.0, 3.70, 2.00, 59.03, 2.19, 9.149e+002, 9.149e+000, 286.28, 2.00, 2.315e+025, 2.315e+023
956.0, 1.360e+018, 5.355e+016, 350.0, 3.94, 2.00, 58.90, 2.32, 9.117e+002, 9.117e+000, 286.08, 2.00, 2.308e+025, 2.308e+023
986.0, 1.355e+018, 5.815e+016, 350.0, 4.29, 2.00, 58.88, 2.53, 9.084e+002, 9.084e+000, 285.89, 2.00, 2.301e+025, 2.301e+023
1016.0, 1.365e+018, 6.339e+016, 350.0, 4.64, 2.00, 59.49, 2.76, 9.052e+002, 9.052e+000, 285.71, 2.00, 2.295e+025, 2.295e+023
1046.0, 1.367e+018, 6.828e+016, 350.0, 5.00, 2.00, 59.73, 2.98, 9.020e+002, 9.020e+000, 285.52, 2.00, 2.288e+025, 2.288e+023
1076.0, 1.342e+018, 7.178e+016, 350.0, 5.35, 2.00, 58.84, 3.15, 8.988e+002, 8.988e+000, 285.34, 2.00, 2.281e+025, 2.281e+023
1106.0, 1.339e+018, 7.634e+016, 350.0, 5.70, 2.00, 58.88, 3.36, 8.955e+002, 8.955e+000, 285.16, 2.00, 2.275e+025, 2.275e+023
1136.0, 1.338e+018, 8.402e+016, 350.0, 6.28, 2.00, 59.02, 3.70, 8.924e+002, 8.924e+000, 284.98, 2.00, 2.268e+025, 2.268e+023
1166.0, 1.331e+018, 9.126e+016, 350.0, 6.86, 2.00, 58.87, 4.04, 8.892e+002, 8.892e+000, 284.81, 2.00, 2.261e+025, 2.261e+023
1196.0, 1.311e+018, 9.745e+016, 350.0, 7.43, 2.00, 58.15, 4.32, 8.860e+002, 8.860e+000, 284.63, 2.00, 2.255e+025, 2.255e+023
1226.0, 1.296e+018, 1.038e+017, 350.0, 8.01, 2.00, 57.66, 4.62, 8.828e+002, 8.828e+000, 284.46, 2.00, 2.248e+025, 2.248e+023
1256.0, 1.299e+018, 1.116e+017, 350.0, 8.59, 2.00, 57.96, 4.98, 8.797e+002, 8.797e+000, 284.29, 2.00, 2.241e+025, 2.241e+023
1286.0, 1.292e+018, 9.162e+016, 350.0, 7.09, 2.00, 57.80, 4.10, 8.765e+002, 8.765e+000, 284.10, 2.00, 2.235e+025, 2.235e+023
1316.0, 1.289e+018, 7.217e+016, 350.0, 5.60, 2.00, 57.86, 3.24, 8.734e+002, 8.734e+000, 283.91, 2.00, 2.228e+025, 2.228e+023
1346.0, 1.303e+018, 5.346e+016, 350.0, 4.10, 2.00, 58.64, 2.41, 8.703e+002, 8.703e+000, 283.72, 2.00, 2.222e+025, 2.222e+023
1376.0, 1.289e+018, 3.363e+016, 350.0, 2.61, 2.00, 58.21, 1.52, 8.671e+002, 8.671e+000, 283.54, 2.00, 2.215e+025, 2.215e+023
1406.0, 1.277e+018, 1.422e+016, 350.0, 1.11, 2.00, 57.84, 0.64, 8.640e+002, 8.640e+000, 283.35, 2.00, 2.209e+025, 2.209e+023
1436.0, 1.282e+018, 1.493e+016, 550.0, 1.16, 3.00, 58.24, 0.68, 8.609e+002, 8.609e+000, 283.17, 2.00, 2.202e+025, 2.202e+023
1466.0, 1.292e+018, 1.570e+016, 550.0, 1.21, 3.00, 58.87, 0.72, 8.578e+002, 8.578e+000, 283.00, 2.00, 2.195e+025, 2.195e+023
1496.0, 1.297e+018, 1.641e+016, 550.0, 1.27, 3.00, 59.23, 0.75, 8.547e+002, 8.547e+000, 282.82, 2.00, 2.189e+025, 2.189e+023
1526.0, 1.286e+018, 1.693e+016, 550.0, 1.32, 3.00, 58.91, 0.78, 8.517e+002, 8.517e+000, 282.65, 2.00, 2.182e+025, 2.182e+023
1556.0, 1.401e+018, 6.772e+015, 550.0, 0.48, 3.00, 64.39, 0.31, 8.486e+002, 8.486e+000, 282.47, 2.00, 2.176e+025, 2.176e+023
1586.0, 1.387e+018, 6.994e+015, 550.0, 0.50, 3.00, 63.93, 0.32, 8.455e+002, 8.455e+000, 282.36, 2.00, 2.169e+025, 2.169e+023
1616.0, 1.374e+018, 7.219e+015, 550.0, 0.53, 3.00, 63.55, 0.33, 8.425e+002, 8.425e+000, 282.25, 2.00, 2.162e+025, 2.162e+023
1646.0, 1.364e+018, 7.456e+015, 550.0, 0.55, 3.00, 63.31, 0.35, 8.394e+002, 8.394e+000, 282.14, 2.00, 2.155e+025, 2.155e+023
1676.0, 1.356e+018, 7.696e+015, 550.0, 0.57, 3.00, 63.13, 0.36, 8.364e+002, 8.364e+000, 282.03, 2.00, 2.148e+025, 2.148e+023
1706.0, 1.344e+018, 7.914e+015, 550.0, 0.59, 3.00, 62.80, 0.37, 8.333e+002, 8.333e+000, 281.92, 2.00, 2.141e+025, 2.141e+023
1736.0, 1.327e+018, 8.121e+015, 550.0, 0.61, 3.00, 62.20, 0.38, 8.303e+002, 8.303e+000, 281.81, 2.00, 2.134e+025, 2.134e+023
1766.0, 1.310e+018, 8.321e+015, 550.0, 0.63, 3.00, 61.60, 0.39, 8.273e+002, 8.273e+000, 281.70, 2.00, 2.127e+025, 2.127e+023
1796.0, 1.301e+018, 8.561e+015, 550.0, 0.66, 3.00, 61.36, 0.40, 8.244e+002, 8.244e+000, 281.58, 2.00, 2.120e+025, 2.120e+023
1826.0, 1.302e+018, 8.869e+015, 550.0, 0.68, 3.00, 61.60, 0.42, 8.214e+002, 8.214e+000, 281.47, 2.00, 2.114e+025, 2.114e+023
1856.0, 1.393e+018, 9.811e+015, 550.0, 0.70, 3.00, 66.12, 0.47, 8.184e+002, 8.184e+000, 281.35, 2.00, 2.107e+025, 2.107e+023
1886.0, 1.393e+018, 1.015e+016, 550.0, 0.73, 3.00, 66.33, 0.48, 8.154e+002, 8.154e+000, 281.29, 2.00, 2.100e+025, 2.100e+023
1916.0, 1.392e+018, 1.049e+016, 550.0, 0.75, 3.00, 66.55, 0.50, 8.125e+002, 8.125e+000, 281.23, 2.00, 2.092e+025, 2.092e+023
1946.0, 1.392e+018, 1.083e+016, 550.0, 0.78, 3.00, 66.76, 0.52, 8.095e+002, 8.095e+000, 281.17, 2.00, 2.085e+025, 2.085e+023
