18       ; NUMBER OF GENERAL HEADER LINES (AFTER THIS LINE)
v1.0     ; TOLNET STANDARDIZED FORMAT VERSION FOR PROFILE DATA
36       ; NUMBER OF PROFILES IN THIS FILE
14       ; NUMBER OF DATA COLUMNS FOR ALL PROFILES
ALT, m, Altitude above sea level (center of sampling bin)                   ; COLUMN 1
O3ND, molec.m-3, Ozone Number Density (measured )                           ; COLUMN 2
O3NDUncert, molec.m-3, Ozone Number Density Combined Standard Uncertainty   ; COLUMN 3
O3NDResol, m, Ozone Number Density Standardized Vertical Resolution         ; COLUMN 4
Precision, %, Measurement Precision                                         ; COLUMN 5
ChRange, #, Channel Range (1.0 to N.0, nearest-field to farthest-field)     ; COLUMN 6
O3MR, ppbv, Ozone Mixing Ratio (derived)                                    ; COLUMN 7
O3MRUncert, ppbv, Ozone Mixing Ratio Combined Standard Uncertainty          ; COLUMN 8
Press, hPa, Air Pressure used to derive Ozone Mixing Ratio                  ; COLUMN 9
PressUncert, hPa, Air Pressure Standard Uncertainty                         ; COLUMN 10
Temp, K, Air Temperature used to derive Ozone Mixing Ratio                  ; COLUMN 11
TempUncert, K, Air Temperature Ratio Standard Uncertainty                   ; COLUMN 12
AirND, molec.m-3, Air Number Density used to derive Ozone Mixing Ratio      ; COLUMN 13
AirNDUncert, molec.m-3, Air Number Density Standard Uncertainty             ; COLUMN 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999  ; MISSING DATA VALUES
5                                                            ; NUMBER OF GENERAL COMMENTS LINES (AFTER THIS LINE)
UAH_O3_DIAL                                                  ; INSTRUMENT NAME
Michael J. Newchurch, University of Alabama in Huntsville,   ; PI AND CONTACT INFO
UAHuntsville Ozone Lidar Station                             ; SITE NAME
-86.6450, 34.7250, 206.000                                   ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
R0                                                           ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;----------------------------------------------------------------------------------------------------------
12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 18:41:20                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
Normal                                           ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2013- 3-21, 14:19: 4                             ; PROFILE DATE, TIME (UT) START
2013- 3-21, 14:29:36                             ; PROFILE DATE, TIME (UT) END
2013- 3-21, 14:24:20                             ; PROFILE DATE, TIME (UT) MEAN
Ozonesonde                                       ; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2013- 4-27, 18:16:30                             ; SOURCE DATE, TIME (UT)
-86.6450, 34.7250,       206.000                 ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
No comments                                      ; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert  ; 
716.0, 1.241e+018, 3.387e+016, 350.0, 2.73, 2.00, 52.65, 1.44, 9.380e+002, 9.380e+000, 288.17, 2.00, 2.357e+025, 2.357e+023
746.0, 1.236e+018, 3.688e+016, 350.0, 2.98, 2.00, 52.54, 1.57, 9.347e+002, 9.347e+000, 287.81, 2.00, 2.352e+025, 2.352e+023
776.0, 1.235e+018, 4.001e+016, 350.0, 3.24, 2.00, 52.61, 1.70, 9.313e+002, 9.313e+000, 287.44, 2.00, 2.347e+025, 2.347e+023
806.0, 1.245e+018, 4.352e+016, 350.0, 3.50, 2.00, 53.17, 1.86, 9.280e+002, 9.280e+000, 287.07, 2.00, 2.341e+025, 2.341e+023
836.0, 1.244e+018, 4.831e+016, 350.0, 3.88, 2.00, 53.29, 2.07, 9.248e+002, 9.248e+000, 286.87, 2.00, 2.335e+025, 2.335e+023
866.0, 1.236e+018, 5.276e+016, 350.0, 4.27, 2.00, 53.08, 2.27, 9.215e+002, 9.215e+000, 286.67, 2.00, 2.328e+025, 2.328e+023
896.0, 1.216e+018, 5.660e+016, 350.0, 4.66, 2.00, 52.37, 2.44, 9.182e+002, 9.182e+000, 286.47, 2.00, 2.321e+025, 2.321e+023
926.0, 1.209e+018, 6.098e+016, 350.0, 5.04, 2.00, 52.25, 2.63, 9.149e+002, 9.149e+000, 286.28, 2.00, 2.315e+025, 2.315e+023
956.0, 1.213e+018, 6.587e+016, 350.0, 5.43, 2.00, 52.56, 2.85, 9.117e+002, 9.117e+000, 286.08, 2.00, 2.308e+025, 2.308e+023
986.0, 1.232e+018, 7.468e+016, 350.0, 6.06, 2.00, 53.54, 3.25, 9.084e+002, 9.084e+000, 285.89, 2.00, 2.301e+025, 2.301e+023
1016.0, 1.249e+018, 8.357e+016, 350.0, 6.69, 2.00, 54.42, 3.64, 9.052e+002, 9.052e+000, 285.71, 2.00, 2.295e+025, 2.295e+023
1046.0, 1.267e+018, 9.282e+016, 350.0, 7.32, 2.00, 55.39, 4.06, 9.020e+002, 9.020e+000, 285.52, 2.00, 2.288e+025, 2.288e+023
1076.0, 1.292e+018, 1.028e+017, 350.0, 7.96, 2.00, 56.63, 4.50, 8.988e+002, 8.988e+000, 285.34, 2.00, 2.281e+025, 2.281e+023
1106.0, 1.312e+018, 1.127e+017, 350.0, 8.59, 2.00, 57.69, 4.95, 8.955e+002, 8.955e+000, 285.16, 2.00, 2.275e+025, 2.275e+023
1136.0, 1.324e+018, 1.284e+017, 350.0, 9.70, 2.00, 58.37, 5.66, 8.924e+002, 8.924e+000, 284.98, 2.00, 2.268e+025, 2.268e+023
1166.0, 1.317e+018, 1.424e+017, 350.0, 10.81, 2.00, 58.25, 6.30, 8.892e+002, 8.892e+000, 284.81, 2.00, 2.261e+025, 2.261e+023
1196.0, 1.315e+018, 1.567e+017, 350.0, 11.92, 2.00, 58.33, 6.95, 8.860e+002, 8.860e+000, 284.63, 2.00, 2.255e+025, 2.255e+023
1226.0, 1.306e+018, 1.702e+017, 350.0, 13.03, 2.00, 58.11, 7.57, 8.828e+002, 8.828e+000, 284.46, 2.00, 2.248e+025, 2.248e+023
1256.0, 1.280e+018, 1.810e+017, 350.0, 14.14, 2.00, 57.12, 8.08, 8.797e+002, 8.797e+000, 284.29, 2.00, 2.241e+025, 2.241e+023
1286.0, 1.280e+018, 1.494e+017, 350.0, 11.67, 2.00, 57.30, 6.69, 8.765e+002, 8.765e+000, 284.10, 2.00, 2.235e+025, 2.235e+023
1316.0, 1.295e+018, 1.191e+017, 350.0, 9.20, 2.00, 58.14, 5.35, 8.734e+002, 8.734e+000, 283.91, 2.00, 2.228e+025, 2.228e+023
1346.0, 1.330e+018, 8.939e+016, 350.0, 6.72, 2.00, 59.85, 4.02, 8.703e+002, 8.703e+000, 283.72, 2.00, 2.222e+025, 2.222e+023
1376.0, 1.315e+018, 5.588e+016, 350.0, 4.25, 2.00, 59.35, 2.52, 8.671e+002, 8.671e+000, 283.54, 2.00, 2.215e+025, 2.215e+023
1406.0, 1.302e+018, 2.316e+016, 350.0, 1.78, 2.00, 58.94, 1.05, 8.640e+002, 8.640e+000, 283.35, 2.00, 2.209e+025, 2.209e+023
1436.0, 1.318e+018, 2.439e+016, 550.0, 1.85, 3.00, 59.87, 1.11, 8.609e+002, 8.609e+000, 283.17, 2.00, 2.202e+025, 2.202e+023
1466.0, 1.326e+018, 2.547e+016, 550.0, 1.92, 3.00, 60.39, 1.16, 8.578e+002, 8.578e+000, 283.00, 2.00, 2.195e+025, 2.195e+023
1496.0, 1.318e+018, 2.625e+016, 550.0, 1.99, 3.00, 60.20, 1.20, 8.547e+002, 8.547e+000, 282.82, 2.00, 2.189e+025, 2.189e+023
1526.0, 1.280e+018, 2.640e+016, 550.0, 2.06, 3.00, 58.64, 1.21, 8.517e+002, 8.517e+000, 282.65, 2.00, 2.182e+025, 2.182e+023
1556.0, 1.397e+018, 1.054e+016, 550.0, 0.75, 3.00, 64.23, 0.48, 8.486e+002, 8.486e+000, 282.47, 2.00, 2.176e+025, 2.176e+023
1586.0, 1.388e+018, 1.088e+016, 550.0, 0.78, 3.00, 64.01, 0.50, 8.455e+002, 8.455e+000, 282.36, 2.00, 2.169e+025, 2.169e+023
1616.0, 1.384e+018, 1.126e+016, 550.0, 0.81, 3.00, 64.02, 0.52, 8.425e+002, 8.425e+000, 282.25, 2.00, 2.162e+025, 2.162e+023
1646.0, 1.376e+018, 1.161e+016, 550.0, 0.84, 3.00, 63.86, 0.54, 8.394e+002, 8.394e+000, 282.14, 2.00, 2.155e+025, 2.155e+023
1676.0, 1.372e+018, 1.198e+016, 550.0, 0.87, 3.00, 63.87, 0.56, 8.364e+002, 8.364e+000, 282.03, 2.00, 2.148e+025, 2.148e+023
1706.0, 1.389e+018, 1.254e+016, 550.0, 0.90, 3.00, 64.86, 0.59, 8.333e+002, 8.333e+000, 281.92, 2.00, 2.141e+025, 2.141e+023
1736.0, 1.391e+018, 1.305e+016, 550.0, 0.94, 3.00, 65.20, 0.61, 8.303e+002, 8.303e+000, 281.81, 2.00, 2.134e+025, 2.134e+023
1766.0, 1.396e+018, 1.359e+016, 550.0, 0.97, 3.00, 65.63, 0.64, 8.273e+002, 8.273e+000, 281.70, 2.00, 2.127e+025, 2.127e+023
1796.0, 1.416e+018, 1.428e+016, 550.0, 1.01, 3.00, 66.79, 0.67, 8.244e+002, 8.244e+000, 281.58, 2.00, 2.120e+025, 2.120e+023
1826.0, 1.408e+018, 1.469e+016, 550.0, 1.04, 3.00, 66.62, 0.70, 8.214e+002, 8.214e+000, 281.47, 2.00, 2.114e+025, 2.114e+023
1856.0, 1.391e+018, 1.500e+016, 550.0, 1.08, 3.00, 66.01, 0.71, 8.184e+002, 8.184e+000, 281.35, 2.00, 2.107e+025, 2.107e+023
1886.0, 1.389e+018, 1.552e+016, 550.0, 1.12, 3.00, 66.17, 0.74, 8.154e+002, 8.154e+000, 281.29, 2.00, 2.100e+025, 2.100e+023
1916.0, 1.388e+018, 1.604e+016, 550.0, 1.16, 3.00, 66.32, 0.77, 8.125e+002, 8.125e+000, 281.23, 2.00, 2.092e+025, 2.092e+023
1946.0, 1.386e+018, 1.656e+016, 550.0, 1.19, 3.00, 66.48, 0.79, 8.095e+002, 8.095e+000, 281.17, 2.00, 2.085e+025, 2.085e+023
